Week,Dates,name,value
1,08/22 - 08/26,Monday,Syllabus + Intro
1,08/22 - 08/26,Wednesday,Chapter 1
1,08/22 - 08/26,Friday,Chapter 1
2,08/29 - 09/02,Monday,Chapter 2
2,08/29 - 09/02,Wednesday,Chapter 2
2,08/29 - 09/02,Friday,Chapter 2
3,09/05 - 09/09,Monday,No Class <br/> <i>Labor Day</i>
3,09/05 - 09/09,Wednesday,Chapter 3
3,09/05 - 09/09,Friday,Chapter 3
4,09/12 - 09/16,Monday,Chapter 4
4,09/12 - 09/16,Wednesday,Chapter 4
4,09/12 - 09/16,Friday,Chapter 4 
5,09/19 - 09/23,Monday,Chapter 4
5,09/19 - 09/23,Wednesday,Chapter 5
5,09/19 - 09/23,Friday,Chapter 5
6,09/26 - 09/30,Monday,Chapter 5
6,09/26 - 09/30,Wednesday,<i>Review</i>
6,09/26 - 09/30,Friday,Midterm
7,10/03 - 10/07,Monday,<i>No Class</i>
7,10/03 - 10/07,Wednesday,Chapter 6
7,10/03 - 10/07,Friday,Chapter 6
8,10/10 - 10/14,Monday,Chapter 6
8,10/10 - 10/14,Wednesday,Chapter 7
8,10/10 - 10/14,Friday,Chapter 7
9,10/17 - 10/21,Monday,Chapter 7
9,10/17 - 10/21,Wednesday,Chapter 8
9,10/17 - 10/21,Friday,Chapter 8
10,10/24 - 10/28,Monday,Chapter 8
10,10/24 - 10/28,Wednesday,<i>Review</i>
10,10/24 - 10/28,Friday,Midterm
11,10/31 - 11/04,Monday,Chapter 9
11,10/31 - 11/04,Wednesday,Chapter 9
11,10/31 - 11/04,Friday,Chapter 9
12,11/07 - 11/11,Monday,Chapter 10
12,11/07 - 11/11,Wednesday,Chapter 10
12,11/07 - 11/11,Friday,Chapter 11
13,11/14 - 11/18,Monday,Chapter 11
13,11/14 - 11/18,Wednesday,Chapter 11
13,11/14 - 11/18,Friday,Chapter 11
14,11/21 - 11/25,Monday,No Class <br/> <i>Thanksgiving</i>
14,11/21 - 11/25,Wednesday,No Class <br/> <i>Thanksgiving</i>
14,11/21 - 11/25,Friday,No Class <br/> <i>Thanksgiving</i>
15,11/28 - 12/02,Monday,Chapter 12
15,11/28 - 12/02,Wednesday,Chapter 12
15,11/28 - 12/02,Friday,Chapter 12
16,12/05 - 12/07,Monday,Chapter 13
16,12/05 - 12/07,Wednesday,Chapter 13
2,08/29 - 09/02,Assignments,"Problem Set 1, Wednesday 08/31"
3,09/05 - 09/09,Assignments,"Problem Set 2, Wednesday 09/07"
4,09/12 - 09/16,Assignments,"Problem Set 3, Wednesday 09/14"
5,09/19 - 09/23,Assignments,"Problem Set 4, Wednesday 09/21"
6,09/26 - 09/30,Assignments,"Problem Set 5, Wednesday 09/28"
8,10/10 - 10/14,Assignments,"Problem Set 6, Wednesday 10/12"
9,10/17 - 10/21,Assignments,"Problem Set 7, Wednesday 10/19"
10,10/24 - 10/28,Assignments,"Problem Set 8, Wednesday 10/26"
12,11/07 - 11/11,Assignments,"Problem Set 9, Wednesday 11/09"
13,11/14 - 11/18,Assignments,"Problem Set 10, Wednesday 11/16"
14,11/21 - 11/25,Assignments,"Problem Set 11, Sunday 11/27"
16,12/05 - 12/07,Assignments,"Problem Set 12, Wednesday 12/07"
Final,TBD- <i>TBDpm</i>,Assignments,Final Exam
